row_id,target,branch_id,shape,status,family,category,raw_category,assigned_round,first_validated_date
1,bloaty,7,i2s_vp__LWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_gate,0,2026-06-13
2,bloaty,10,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
3,bloaty,11,i2s_vp__W_L,inconclusive,VP-P,inconclusive,-,-,-
4,bloaty,13,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-13
5,bloaty,34,i2s_vp_WL_L,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_constant_gate,0,2026-06-14
6,bloaty,57,i2s_vp_WW_L,validated,VP-P,vp_gradient_value_distance_closure,parallel_hamming_gradient_value_closure,2,2026-06-18
7,bloaty,59,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
8,bloaty,63,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
9,bloaty,77,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
10,bloaty,81,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
11,bloaty,87,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_structural_assembly_depth,2,2026-06-18
12,bloaty,90,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_structural_assembly_depth,2,2026-06-18
13,bloaty,133,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-13
14,bloaty,141,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
15,bloaty,143,i2s_vp__LWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_gate,0,2026-06-13
16,bloaty,145,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
17,bloaty,147,i2s_vp__W_L,validated,VP-P,vp_gradient_value_distance_closure,vp_basin_escape,0,2026-06-13
18,bloaty,150,i2s_vp__W_L,inconclusive,VP-P,inconclusive,-,-,-
19,bloaty,301,i2s_vp__WLW,inconclusive,I2S-A,inconclusive,-,-,-
20,curl,19,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_operand_value_precision_at_equal_reach_gate,3,2026-06-18
21,curl,21,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
22,curl,22,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
23,curl,23,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
24,curl,37,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
25,curl,42,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
26,curl,58,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
27,curl,62,i2s_vp_WLWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
28,curl,68,i2s_vp_W__L,inconclusive,I2S-P,inconclusive,-,-,-
29,curl,73,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
30,curl,78,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
31,curl,118,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
32,curl,129,aflfast_rarity_WL,inconclusive,FAST-P,inconclusive,-,-,-
33,curl,129,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_operand_value_precision_at_equal_reach_gate,3,2026-06-18
34,curl,139,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
35,curl,141,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-12
36,curl,152,i2s_vp_WL_L,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_constant_gate,0,2026-06-14
37,curl,165,aflfast_rarity_WL,inconclusive,FAST-P,inconclusive,-,-,-
38,curl,165,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
39,curl,166,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
40,curl,167,i2s_vp_W__L,inconclusive,I2S-P,inconclusive,-,-,-
41,curl,172,calibrated_energy_WL,inconclusive,CALI-P,inconclusive,-,-,-
42,curl,210,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
43,curl,212,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
44,curl,263,i2s_vp__LWL,inconclusive,I2S-P,inconclusive,-,-,-
45,curl,266,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
46,curl,272,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
47,curl,275,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
48,curl,277,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
49,curl,279,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
50,curl,289,i2s_vp_WL_L,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_constant_gate,0,2026-06-12
51,curl,291,i2s_vp_WL_L,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_constant_gate,0,2026-06-12
52,curl,297,i2s_vp_WLW_,validated,I2S-P,i2s_string_literal_substitution,i2s_literal_operand_substitution,0,2026-06-12
53,curl,298,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_operand_value_precision_at_equal_reach_gate,3,2026-06-18
54,curl,301,i2s_vp_WLWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
55,curl,303,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
56,curl,308,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
57,curl,322,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_operand_value_precision_at_equal_reach_gate,3,2026-06-18
58,curl,353,i2s_vp__LWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_gate,0,2026-06-12
59,curl,398,i2s_vp_L_LW,validated,I2S-A,i2s_anti_decoy_overfit,i2s_case_constant_decoy_substitution,0,2026-06-12
60,curl,399,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
61,curl,405,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-12
62,curl,415,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
63,curl,416,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
64,curl,422,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
65,curl,426,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
66,curl,427,i2s_vp__LWL,inconclusive,I2S-P,inconclusive,-,-,-
67,curl,430,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
68,curl,441,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
69,curl,442,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
70,curl,459,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
71,curl,468,i2s_vp_WLW_,validated,I2S-P,i2s_string_literal_substitution,i2s_literal_operand_substitution,0,2026-06-12
72,curl,470,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
73,curl,505,i2s_vp_WLW_,inconclusive,I2S-P,inconclusive,-,-,-
74,curl,527,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
75,curl,567,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_operand_value_precision_at_equal_reach_gate,3,2026-06-18
76,harfbuzz,5198,i2s_vp__LWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_gate,0,2026-06-13
77,harfbuzz,5203,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
78,harfbuzz,5208,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
79,harfbuzz,5222,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
80,harfbuzz,5225,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
81,harfbuzz,5228,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
82,harfbuzz,5232,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
83,harfbuzz,5237,calibrated_energy_WL,inconclusive,CALI-P,inconclusive,-,-,-
84,harfbuzz,5237,ctx_coverage_WL,inconclusive,CTX-P,inconclusive,-,-,-
85,harfbuzz,5237,i2s_vp_LWLL,inconclusive,I2S-A,inconclusive,-,-,-
86,harfbuzz,5237,i2s_vp_LWLL,inconclusive,VP-P,inconclusive,-,-,-
87,harfbuzz,5250,i2s_vp_LLWL,validated,VPC-P,joint_value_distance_closure,joint_value_precision,0,2026-06-12
88,harfbuzz,5251,i2s_vp_LLWL,validated,VPC-P,joint_value_distance_closure,joint_value_precision,0,2026-06-12
89,harfbuzz,5292,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
90,harfbuzz,5293,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
91,harfbuzz,5295,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
92,harfbuzz,5302,calibrated_energy_WL,inconclusive,CALI-P,inconclusive,-,-,-
93,harfbuzz,5302,ctx_coverage_WL,inconclusive,CTX-P,inconclusive,-,-,-
94,harfbuzz,5302,i2s_vp__WWL,validated,VP-P,vp_gradient_assembly_depth,vp_admits_larger_valid_structure,1,2026-06-18
95,harfbuzz,5311,grimoire_structural_WL,validated,GRIM-P,grimoire_structural_assembly,structural_token_richness,0,2026-06-12
96,harfbuzz,5311,i2s_vp_LW_W,inconclusive,I2S-A,inconclusive,-,-,-
97,harfbuzz,5323,i2s_vp_LWLW,validated,I2S-A,i2s_anti_decoy_overfit,i2s_decoy_substitution_overfit,0,2026-06-12
98,harfbuzz,5334,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-12
99,harfbuzz,5350,i2s_vp__WLW,validated,I2S-A,i2s_anti_decoy_overfit,decoy_overcommit_wrong_literal,0,2026-06-14
100,harfbuzz,5353,i2s_vp_LWLW,validated,I2S-A,i2s_anti_decoy_overfit,i2s_decoy_substitution_overfit,0,2026-06-12
101,harfbuzz,5362,i2s_vp__LWL,inconclusive,I2S-P,inconclusive,-,-,-
102,harfbuzz,5389,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
103,harfbuzz,5391,i2s_vp_LW_W,validated,I2S-A,i2s_anti_target_depletion,i2s_decoy_substitution_target_depletion,0,2026-06-12
104,harfbuzz,5392,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
105,harfbuzz,5397,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
106,harfbuzz,5399,i2s_vp_LLWL,validated,VPC-P,joint_assembly_depth,joint_assembly_depth,0,2026-06-12
107,harfbuzz,5400,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
108,harfbuzz,5401,i2s_vp__LWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_gate,0,2026-06-13
109,harfbuzz,5408,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
110,harfbuzz,5430,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
111,harfbuzz,5431,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
112,harfbuzz,5434,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
113,harfbuzz,5435,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
114,harfbuzz,5436,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
115,harfbuzz,5437,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
116,harfbuzz,5438,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
117,harfbuzz,5439,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
118,harfbuzz,5440,grimoire_structural_WL,inconclusive,GRIM-P,inconclusive,-,-,-
119,harfbuzz,5440,i2s_vp_LLWL,validated,VPC-P,joint_value_distance_closure,joint_value_precision,0,2026-06-12
120,harfbuzz,5441,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
121,harfbuzz,5442,i2s_vp_LLWL,validated,VPC-P,joint_assembly_depth,joint_assembly_depth,0,2026-06-12
122,harfbuzz,5474,i2s_vp_L_W_,inconclusive,VP-P,inconclusive,-,-,-
123,harfbuzz,5477,i2s_vp_L_W_,inconclusive,VP-P,inconclusive,-,-,-
124,harfbuzz,5478,i2s_vp_WLWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
125,harfbuzz,5481,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
126,harfbuzz,5483,i2s_vp_WL_L,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_constant_gate,0,2026-06-12
127,harfbuzz,5484,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
128,harfbuzz,5486,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
129,harfbuzz,5492,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
130,harfbuzz,5494,i2s_vp_WL_L,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_constant_gate,0,2026-06-14
131,harfbuzz,5497,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
132,harfbuzz,5503,calibrated_energy_WL,inconclusive,CALI-P,inconclusive,-,-,-
133,harfbuzz,5503,ctx_coverage_WL,validated,CTX-P,ctx_iteration_path_depth,iteration_path_depth_reach,0,2026-06-12
134,harfbuzz,5503,i2s_vp_WWWL,validated,VP-P,vp_gradient_value_distance_closure,cmp_gradient_closes_to_operand,0,2026-06-12
135,harfbuzz,5517,calibrated_energy_WL,inconclusive,CALI-P,inconclusive,-,-,-
136,harfbuzz,5517,ctx_coverage_WL,inconclusive,CTX-P,inconclusive,-,-,-
137,harfbuzz,5517,i2s_vp_WWWL,validated,VP-P,vp_gradient_value_distance_closure,cmp_gradient_closes_to_operand,1,2026-06-18
138,harfbuzz,5544,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
139,harfbuzz,5545,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
140,harfbuzz,5547,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
141,harfbuzz,5550,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
142,harfbuzz,5555,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
143,harfbuzz,5556,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
144,harfbuzz,5557,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
145,harfbuzz,5558,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
146,harfbuzz,5559,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
147,harfbuzz,5560,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_operand_value_precision_at_equal_reach_gate,3,2026-06-18
148,harfbuzz,5561,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
149,harfbuzz,5562,i2s_vp_WL_L,inconclusive,I2S-P,inconclusive,-,-,-
150,harfbuzz,5564,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
151,harfbuzz,5565,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-14
152,harfbuzz,5567,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
153,harfbuzz,5576,i2s_vp_LWLW,inconclusive,I2S-A,inconclusive,-,-,-
154,harfbuzz,5589,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
155,harfbuzz,5602,i2s_vp_LLWL,validated,VPC-P,joint_value_distance_closure,joint_value_precision,0,2026-06-12
156,harfbuzz,5609,i2s_vp_LLWL,inconclusive,VPC-P,inconclusive,-,-,-
157,harfbuzz,5611,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
158,harfbuzz,5614,i2s_vp_LLWL,inconclusive,VPC-P,inconclusive,-,-,-
159,harfbuzz,5616,i2s_vp_LLWL,validated,VPC-P,joint_assembly_depth,joint_gradient_iteration_depth,3,2026-06-18
160,harfbuzz,5619,i2s_vp_LWLW,inconclusive,I2S-A,inconclusive,-,-,-
161,harfbuzz,5623,i2s_vp__WLW,validated,I2S-A,i2s_anti_structural_byte_corruption,vpc_corpus_shallower_context_reach,2,2026-06-18
162,harfbuzz,5624,i2s_vp_WWLW,inconclusive,VPC-A,inconclusive,-,-,-
163,harfbuzz,5660,i2s_vp_WWLW,inconclusive,VPC-A,inconclusive,-,-,-
164,harfbuzz,5662,i2s_vp_LW_W,validated,I2S-A,i2s_anti_target_depletion,i2s_decoy_substitution_target_depletion,0,2026-06-12
165,harfbuzz,5664,i2s_vp_LWLW,validated,I2S-A,i2s_anti_decoy_overfit,i2s_decoy_substitution_overfit,0,2026-06-13
166,harfbuzz,5671,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
167,harfbuzz,5675,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-12
168,harfbuzz,5679,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
169,harfbuzz,5680,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
170,harfbuzz,5683,i2s_vp__WLW,validated,I2S-A,i2s_anti_decoy_overfit,decoy_overcommit_wrong_literal,0,2026-06-14
171,harfbuzz,5684,i2s_vp_LLWL,validated,VPC-P,joint_assembly_depth,joint_assembly_depth,0,2026-06-12
172,harfbuzz,5691,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
173,harfbuzz,5692,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
174,harfbuzz,5694,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
175,harfbuzz,5695,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
176,harfbuzz,5697,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
177,harfbuzz,5708,calibrated_energy_WL,inconclusive,CALI-P,inconclusive,-,-,-
178,harfbuzz,5708,ctx_coverage_WL,inconclusive,CTX-P,inconclusive,-,-,-
179,harfbuzz,5708,i2s_vp__W_L,inconclusive,VP-P,inconclusive,-,-,-
180,harfbuzz,5715,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-12
181,harfbuzz,5716,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
182,harfbuzz,5720,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-12
183,harfbuzz,5723,i2s_vp_LW_W,inconclusive,I2S-A,inconclusive,-,-,-
184,harfbuzz,5727,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
185,harfbuzz,5728,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
186,harfbuzz,5730,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
187,harfbuzz,5732,i2s_vp_LLWL,validated,VPC-P,joint_assembly_depth,joint_assembly_depth,0,2026-06-12
188,harfbuzz,5736,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-14
189,harfbuzz,5737,i2s_vp__LWL,validated,I2S-P,i2s_string_literal_substitution,i2s_exact_literal_gate,0,2026-06-13
190,harfbuzz,5745,i2s_vp__LWL,inconclusive,I2S-P,inconclusive,-,-,-
191,harfbuzz,5761,i2s_vp__WLW,validated,I2S-A,i2s_anti_decoy_overfit,decoy_overcommit_wrong_literal,0,2026-06-14
192,harfbuzz,5784,i2s_vp_LWLW,validated,I2S-A,i2s_anti_decoy_overfit,i2s_decoy_substitution_overfit,0,2026-06-12
193,harfbuzz,5802,ctx_coverage_LW,inconclusive,CTX-A,inconclusive,-,-,-
194,harfbuzz,5802,ctx_coverage_LW,inconclusive,I2S-A,inconclusive,-,-,-
195,harfbuzz,5802,i2s_vp_L__W,validated,I2S-A,i2s_anti_target_depletion,i2s_energy_diversion_decoy_pin,0,2026-06-12
196,harfbuzz,5810,grimoire_structural_WL,inconclusive,GRIM-P,inconclusive,-,-,-
197,harfbuzz,5810,i2s_vp_LW_W,validated,I2S-A,i2s_anti_target_depletion,i2s_decoy_substitution_target_depletion,0,2026-06-12
198,harfbuzz,5812,i2s_vp_LW_W,validated,I2S-A,i2s_anti_target_depletion,i2s_decoy_substitution_target_depletion,0,2026-06-12
